,PLZ,Stadtteil
0,10115,Mitte
1,10117,Mitte
2,10119,Mitte
3,10119,Prenzlauer Berg
4,10178,Mitte
5,10179,Mitte
6,10243,Friedrichshain
7,10245,Friedrichshain
8,10247,Prenzlauer Berg
9,10247,Friedrichshain
10,10249,Prenzlauer Berg
11,10249,Friedrichshain
12,10315,Friedrichsfelde
13,10315,Lichtenberg
14,10317,Friedrichsfelde
15,10317,Lichtenberg
16,10317,Rummelsburg
17,10318,Karlshorst
18,10319,Friedrichsfelde
19,10365,Lichtenberg
20,10367,Lichtenberg
21,10367,Fennpfuhl
22,10369,Lichtenberg
23,10369,Fennpfuhl
24,10405,Prenzlauer Berg
25,10407,Prenzlauer Berg
26,10409,Prenzlauer Berg
27,10435,Mitte
28,10435,Prenzlauer Berg
29,10437,Prenzlauer Berg
30,10439,Prenzlauer Berg
31,10439,Pankow
32,10551,Moabit
33,10553,Moabit
34,10555,Moabit
35,10555,Hansaviertel
36,10557,Moabit
37,10557,Hansaviertel
38,10557,Tiergarten
39,10559,Moabit
40,10585,Charlottenburg
41,10587,Charlottenburg
42,10589,Charlottenburg
43,10589,Charlottenburg-Nord
44,10623,Charlottenburg
45,10625,Charlottenburg
46,10627,Charlottenburg
47,10629,Charlottenburg
48,10707,Charlottenburg
49,10707,Wilmersdorf
50,10709,Charlottenburg
51,10709,Wilmersdorf
52,10709,Halensee
53,10711,Charlottenburg
54,10711,Halensee
55,10711,Grunewald
56,10713,Wilmersdorf
57,10713,Halensee
58,10715,Wilmersdorf
59,10717,Wilmersdorf
60,10719,Charlottenburg
61,10719,Wilmersdorf
62,10777,Wilmersdorf
63,10777,Schöneberg
64,10779,Wilmersdorf
65,10779,Schöneberg
66,10781,Schöneberg
67,10783,Schöneberg
68,10785,Tiergarten
69,10785,Schöneberg
70,10785,Kreuzberg
71,10787,Tiergarten
72,10787,Charlottenburg
73,10787,Schöneberg
74,10789,Charlottenburg
75,10789,Wilmersdorf
76,10789,Schöneberg
77,10823,Schöneberg
78,10825,Wilmersdorf
79,10825,Schöneberg
80,10827,Schöneberg
81,10827,Friedenau
82,10829,Schöneberg
83,10961,Kreuzberg
84,10963,Tiergarten
85,10963,Kreuzberg
86,10965,Schöneberg
87,10965,Kreuzberg
88,10965,Neukölln
89,10965,Tempelhof
90,10967,Kreuzberg
91,10967,Neukölln
92,10969,Kreuzberg
93,10997,Kreuzberg
94,10999,Kreuzberg
95,12043,Neukölln
96,12045,Neukölln
97,12047,Neukölln
98,12049,Neukölln
99,12051,Neukölln
100,12053,Neukölln
101,12055,Neukölln
102,12057,Neukölln
103,12059,Neukölln
104,12099,Neukölln
105,12099,Tempelhof
106,12099,Mariendorf
107,12099,Britz
108,12101,Schöneberg
109,12101,Tempelhof
110,12103,Schöneberg
111,12103,Tempelhof
112,12103,Mariendorf
113,12105,Schöneberg
114,12105,Tempelhof
115,12105,Mariendorf
116,12107,Mariendorf
117,12107,Marienfelde
118,12107,Lichtenrade
119,12107,Buckow
120,12109,Tempelhof
121,12109,Mariendorf
122,12157,Schöneberg
123,12157,Steglitz
124,12159,Schöneberg
125,12159,Friedenau
126,12161,Friedenau
127,12161,Steglitz
128,12163,Friedenau
129,12163,Steglitz
130,12165,Steglitz
131,12167,Steglitz
132,12169,Steglitz
133,12203,Lichterfelde
134,12205,Lichterfelde
135,12207,Lichterfelde
136,12209,Lichterfelde
137,12247,Steglitz
