,price_level,rating,user_ratings_total,lat,lng,names_clean,contacts,full_address,district,zip_code,opening_hours,food_type,food_type_2,phone,user_ratings_yelp,rating_yelp,price_level_yelp
1,2.0,4.7,222.0,52.4991843,13.3014219,1000grad,"[{'phone': [{'value': '+493031997770'}], 'www': [{'value': 'http://www.tausendgradberlin.de'}], 'email': [{'value': 'thai1000@hotmail.com'}]}]","1000grad, Kurfürstendamm 90, 10709 Berlin, Deutschland","['Charlottenburg', 'Wilmersdorf', 'Halensee']",10709,Tue-Sun: 12:00 - 23:59,asian,japanese,493031997770.0,,,
2,1.0,4.4,196.0,52.4999105,13.4231455,1001 falafel,"[{'phone': [{'value': '+491791143809'}, {'value': '+493088061552'}], 'email': [{'value': 'abdelmuhdi@hotmail.de'}]}]","1001 Falafel, Skalitzer Straße 101, 10997 Berlin, Deutschland",Kreuzberg,10997,,middle eastern,middle eastern,491791143809.0,,,
3,,4.6,46.0,52.5048401,13.4686558,1961 fusion,"[{'phone': [{'value': '+493084423866'}], 'www': [{'value': 'https://1961fusion.business.site'}], 'email': [{'value': 'restaurant1961@gmail.com'}]}]","1961 Fusion, Neue Bahnhofstraße 35, 10245 Berlin, Deutschland",Friedrichshain,10245,Mon-Sat: 12:00 - 22:30,asian,japanese,493084423866.0,,,
4,2.0,4.4,908.0,52.5331719,13.3801651,19grams chaussee,"[{'phone': [{'value': '+493028099977'}], 'www': [{'value': 'http://19grams.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0004'}, {'id': '100-1100-0010'}]}, {'value': 'http://www.trescabezas.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}], 'email': [{'value': 'kaffee@trescabezas.de', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1100-0000'}]}]}]","19grams Chaussee, Chausseestraße 36, 10115 Berlin, Deutschland",Mitte,10115,Mon-Sun: 10:00 - 18:00,breakfast,breakfast,493028099977.0,,,
5,2.0,4.4,515.0,52.472164,13.4290906,21 gramm,"[{'phone': [{'value': '+4915219079892', 'categories': [{'id': '100-1000-0000'}]}, {'value': '+493076795810'}, {'value': '+4935314369001', 'categories': [{'id': '700-7200-0253'}]}], 'www': [{'value': 'http://www.21gramm.berlin', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0001'}, {'id': '100-1100-0010'}, {'id': '200-2000-0011'}]}], 'email': [{'value': 'reservierung@21gramm.berlin', 'categories': [{'id': '100-1000-0000'}]}]}]","21 Gramm, Hermannstraße, 12049 Berlin, Deutschland",Neukölln,12049,Tue-Sun: 10:00 - 24:00,european,german,4915219079892.0,,,
6,,4.3,326.0,52.5374351,13.4082191,26 shibuya,"[{'phone': [{'value': '+493094047741'}], 'www': [{'value': 'https://www.26-shibuya.de'}], 'email': [{'value': 'nooriteam@gmail.com'}]}]","26 Shibuya, Kastanienallee 26, 10435 Berlin, Deutschland","['Mitte', 'Prenzlauer Berg']",10435,Mon-Thu: 12:00 - 23:00,asian,japanese,493094047741.0,,,
7,3.0,4.2,246.0,52.5291186,13.3954149,3 minutes sur mer,"[{'phone': [{'value': '+493067302052'}], 'www': [{'value': 'http://www.3minutessurmer.de', 'categories': [{'id': '100-1000-0000'}]}, {'value': 'http://www.3minutessurmer.de/fr/accueil.html', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'contact@3minutessurmer.de', 'categories': [{'id': '100-1000-0000'}]}]}]","3 Minutes sur Mer, Torstraße 167, 10115 Berlin, Deutschland",Mitte,10115,Tue-Sat: 18:00 - 23:00,european,french,493067302052.0,,,
8,,4.8,11.0,52.5333232,13.4559236,38 indochina kitchen,"[{'phone': [{'value': '+4917643638385'}], 'www': [{'value': 'http://www.38indochina.de'}]}]","38 Indochina Kitchen, Storkower Straße 139B, 10407 Berlin, Deutschland",Prenzlauer Berg,10407,,asian,indonesian,4917643638385.0,,,
9,2.0,4.2,576.0,52.489828,13.3796114,39 piutrentanove,"[{'phone': [{'value': '+493070094206'}], 'www': [{'value': 'http://restaurant-berlin-kreuzberg.de'}, {'value': 'https://piu39.de', 'categories': [{'id': '100-1000-0000'}]}], 'email': [{'value': 'info@plus39.de'}]}]","39 Piutrentanove, Möckernstraße 73, 10965 Berlin, Deutschland","['Schöneberg', 'Kreuzberg', 'Neukölln', 'Tempelhof']",10965,Mon-Sun: 11:30 - 12:00,european,italian,493070094206.0,,,
10,2.0,4.6,368.0,52.4670527,13.3386191,41quarantuno,"[{'phone': [{'value': '+493021959447'}], 'www': [{'value': 'http://www.quarantuno-berlin.de'}]}]","41quarantuno, Beckerstraße 12, 12157 Berlin, Deutschland","['Schöneberg', 'Steglitz']",12157,Mon-Sat: 16:00 - 23:00,european,sizilianisch,493021959447.0,,,
11,2.0,4.4,232.0,52.5387481,13.4087176,51,"[{'phone': [{'value': '+493068908811'}], 'www': [{'value': 'http://restaurant51.de', 'categories': [{'id': '100-1000-0000'}]}]}]","Restaurant 51, Oderberger Straße 51, 10435 Berlin, Deutschland","['Mitte', 'Prenzlauer Berg']",10435,"Mon-Thu, Sun: 12:00 - 23:00",asian,vietnamese,493068908811.0,,,
