,full_address,name,price_level,rating,user_ratings_total,lat,lon,zip_code,street_nr,street
0,"Zingster Str. 23, 13051 Berlin, Germany",Gaststätte Barnimquell,1.0,4.5,806.0,52.56702019999999,13.4995622,13051,23,Zingster
1,"Falkenberger Str. 37A, 13088 Berlin, Germany","Kiezgaststätte ""Zum Nudelholz""",2.0,4.7,241.0,52.55575,13.47952,13088,37A,Falkenberger
2,"Langhansstraße 12, 13086 Berlin, Germany","Le Food, Asiatische Küche",1.0,4.6,397.0,52.5495256,13.4480719,13086,12,Langhansstraße
3,"Buschallee 24, 13088 Berlin, Germany",Bistro Can,,4.2,59.0,52.5532012,13.4767615,13088,24,Buschallee
4,"Str. 250 2, 13088 Berlin, Germany",Gasthaus Feldtmannsburg,,4.5,90.0,52.55994,13.4882501,13088,2,Str.
5,"Wisbyer Str. 4, 10439 Berlin, Germany",WILLIS Vietnam Küche,,4.9,373.0,52.5531,13.4162099,10439,4,Wisbyer
6,"Langhansstraße 153, 13086 Berlin, Germany",Moon Cuisine Weißensee,2.0,4.6,353.0,52.5485486,13.4503046,13086,153,Langhansstraße
7,"Prerower Pl. 1, 13051 Berlin, Germany",Pizzeria La Rosa,,4.2,155.0,52.5644321,13.5055158,13051,1,Prerower
8,"Pistoriusstraße 2, 13086 Berlin, Germany",La Famiglia,2.0,4.1,470.0,52.5505332,13.4581958,13086,2,Pistoriusstraße
9,"Prerower Pl. 1, 13051 Berlin, Germany",Chidoba Mexican Grill,,4.5,291.0,52.5642933,13.5057785,13051,1,Prerower
10,"Waldowstraße 1, 13053 Berlin, Germany",Wiesenblick,,4.1,80.0,52.5460021,13.4942737,13053,1,Waldowstraße
11,"Berliner Allee 87, 13088 Berlin, Germany",Masala Imbiss,,4.8,87.0,52.549771,13.4566394,13088,87,Berliner
12,"Konrad-Wolf-Straße 28, 13055 Berlin, Germany",Silverado,2.0,4.4,1174.0,52.543101,13.4901832,13055,28,Konrad-Wolf-Straße
13,"Berliner Allee 45, 13088 Berlin, Germany",Sahara- Das Original -Sudanesisches,1.0,4.6,147.0,52.5487478,13.4522039,13088,45,Berliner
14,"Schönhauser Allee 184, 10119 Berlin, Germany",Knödelküche,,4.9,21.0,52.5298031,13.4098848,10119,184,Schönhauser
15,"Herbert-Baum-Straße 3, 13088 Berlin, Germany",Merry Guten Appetit,,4.6,117.0,52.5490688,13.4560992,13088,3,Herbert-Baum-Straße
16,"Ribnitzer Str. 10 a, 13051 Berlin, Germany",Dolce Vita by Giancarlo Guastella 🇮🇹,1.0,4.4,119.0,52.57113349999999,13.5000359,13051,a,Ribnitzer
17,"Konrad-Wolf-Straße 113A, 13055 Berlin, Germany",Pietschmanns,2.0,4.3,349.0,52.543873,13.4924069,13055,113A,Konrad-Wolf-Straße
18,"Orankestraße 41, 13053 Berlin, Germany",Orankesee Terrassen Griechisch mediterranes,2.0,3.9,1959.0,52.54755669999999,13.4827228,13053,41,Orankestraße
19,"Wörther Str. 25, 10405 Berlin, Germany",A-Petit Berlin,,4.5,340.0,52.5358685,13.4216484,10405,25,Wörther
20,"Hansastraße 69, 13088 Berlin, Germany",Thai Lotus,1.0,4.5,67.0,52.5497442,13.4743787,13088,69,Hansastraße
