,Unnamed: 0,name,distance,contacts,chains,lon,lat,full_address,district,zip_code,street,house_nr,opening_hours,food_type,food_type_2,phone
0,0,Schrödingers,113,"[{'phone': [{'value': '+491603485538'}], 'www': [{'value': 'schroedingers.de', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.32699,52.52209,"Schrödingers, Helmholtzstraße 23, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,23,Mon-Fri: 11:00 - 18:00,Deutsch,NaN,+491603485538
1,1,Esa Noa,125,"[{'phone': [{'value': '+493049958347'}], 'www': [{'value': 'http://www.facebook.com/ESA-NOA-275046679654062'}]}]",,13.32672,52.52204,"Esa Noa, Helmholtzstraße 24, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,24,NaN,Französisch,Deutsch,+493049958347
2,2,Rosso,125,"[{'phone': [{'value': '+493058848011'}], 'www': [{'value': 'http://www.facebook.com/rossoberlino', 'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0004'}]}, {'value': 'http://www.rossoberlin.de', 'categories': [{'id': '100-1000-0000'}]}]}]","[{'id': '2606', 'name': 'Rosso'}]",13.32672,52.52204,"Rosso, Helmholtzstraße 24, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,24,Mon-Sat: 11:00 - 20:00,Pizza,Italienisch,+493058848011
3,3,Restaurant Garamond,131,"[{'phone': [{'value': '+49307478200'}, {'value': '+4930747820051'}, {'value': '+4930747820910'}], 'www': [{'value': 'http://www.hotel-adrema.de'}, {'value': 'http://www.hotel-adrema.de/restaurant.aspx'}], 'email': [{'value': 'meister@gold-inn.de'}]}]",,13.32932,52.52336,"Restaurant Garamond, Gotzkowskystraße 20, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,20,"Mon: 12:30 - 14:30, 18:00 - 22:00",Deutsch,International,+49307478200
4,4,La Fabrica Food,144,[{'phone': [{'value': '+493036751982'}]}],,13.32941,52.52358,"La Fabrica Food, Gotzkowskystraße, 10555 Berlin, Deutschland",Moabit,10555,Gotzkowskystraße,NaN,Tue-Sun: 09:00 - 22:00,International,Brunch,+493036751982
5,5,Puan Phong,151,,,13.32618,52.52195,"Puan Phong, Helmholtzstraße 26, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,26,NaN,Asiatisch,NaN,NaN
6,6,Thang Cuc,152,[{'phone': [{'value': '+494939885276'}]}],,13.3268,52.52176,"Thang Cuc, Helmholtzstraße 15, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,15,Mon-Sat: 11:00 - 22:00,Vietnamesisch,NaN,+494939885276
7,7,Kim Thanh,152,"[{'phone': [{'value': '+493039837488'}], 'www': [{'value': 'http://kimthanh.de'}], 'email': [{'value': 'info@kimthanh.de'}]}]",,13.3268,52.52176,"Kim Thanh, Helmholtzstraße 15, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,15,Mon-Fri: 11:30 - 21:00,Asiatisch,Chinesisch,+493039837488
8,8,Lang van,152,"[{'phone': [{'value': '+493039885276'}], 'www': [{'value': 'http://www.langvanrestaurant.de', 'categories': [{'id': '100-1000-0000'}]}]}]",,13.3268,52.52176,"Lang van, Helmholtzstraße 15, 10587 Berlin, Deutschland",Charlottenburg,10587,Helmholtzstraße,15,Mon-Sun: 11:00 - 22:00,Asiatisch,Japanisch - Sushi,+493039885276
9,9,Taste,154,[{'phone': [{'value': '+4917672971948'}]}],,13.32896,52.52411,"Taste, Alt-Moabit 54, 10555 Berlin, Deutschland",Moabit,10555,Alt-Moabit,54,"Mon-Fri, Sun: 12:00 - 24:00",Singapurisch,NaN,+4917672971948
