,Unnamed: 0,alias,name,url,review_count,rating,price,phone,display_phone,distance,food_type,food_type_2,lon,lat,full_address,zip_code
0,0,china-restaurant-hee-lam-mun-berlin,China Restaurant Hee Lam Mun,https://www.yelp.com/biz/china-restaurant-hee-lam-mun-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,13,4.5,€€,+49308236367,+49 30 8236367,21.053583071327434,chinese,panasian,13.3123,52.46,Grunewaldstr. 23,12165
1,1,mundgerecht-berlin,Mundgerecht,https://www.yelp.com/biz/mundgerecht-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,3,4.0,€,+493082098521,+49 30 82098521,88.48993019155532,german,NaN,13.3116512521625,52.4614050046682,Paulsenstr. 5,12163
3,3,jespresso-berlin,J'espresso,https://www.yelp.com/biz/jespresso-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,2,5.0,€€,+4915166183371,+49 1516 6183371,94.58507921991423,cafes,breakfast_brunch,13.3135970681906,52.4722764018938,Wiesbadener Str. 33,14197
4,4,la-vucciria-berlin-3,La Vucciria,https://www.yelp.com/biz/la-vucciria-berlin-3?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,10,3.5,€€,+493093621276,+49 30 93621276,79.11618204286823,italian,NaN,13.3131194,52.4732192,Rüdesheimer Str. 8,14197
7,7,vale-un-peccato-berlin,Vale un Peccato,https://www.yelp.com/biz/vale-un-peccato-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,65,4.5,€€,+493082705275,+49 30 82705275,30.81000017897002,italian,NaN,13.312981307132,52.4781448947364,Aßmannshauser Str. 26,14197
9,9,döner-point-berlin,Döner Point,https://www.yelp.com/biz/d%C3%B6ner-point-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,3,2.5,€,,,73.59266461475254,foodstands,kebab,13.3115176856518,52.4798272268833,Falckensteiner Str.,14199
10,10,sila-grillhaus-berlin,Sila Grillhaus,https://www.yelp.com/biz/sila-grillhaus-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,1,4.0,€€,+493062989700,+49 30 62989700,81.30978821811105,kebab,turkish,13.312361240387,52.4805102599188,Rudolstädter Str. 1,10713
13,13,döner-station-berlin,Döner Station,https://www.yelp.com/biz/d%C3%B6ner-station-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,3,2.0,€,+49308215120,+49 30 8215120,34.031468151142484,kebab,foodstands,13.312107,52.48063,Rudolstädter Str. 1,10713
15,15,genazvale-berlin-2,Genazvale,https://www.yelp.com/biz/genazvale-berlin-2?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,10,4.0,€€,+493023578292,+49 30 23578292,74.88038812307843,georgian,NaN,13.31165,52.4898499,Hohenzollerndamm 33,10713
16,16,carnivore-wochenmarkt-stand-berlin,Carnivore Wochenmarkt-Stand,https://www.yelp.com/biz/carnivore-wochenmarkt-stand-berlin?adjust_creative=pIXdoHJLSMQiqwxYQ78laQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pIXdoHJLSMQiqwxYQ78laQ,4,5.0,€,,,91.76085904536494,hotdogs,NaN,13.3138,52.4901,Fehrbelliner Platz,10713
